nta_id,weighted_score,food_insecure_percentage,supply_gap,vulnerable_population_percentage
BK0104,8.221,35.99,2776626.0961,12.43
BX0501,8.0704,29.44,1669388.8684,19.63
BX0901,7.6866,22.63,1625975.8588,21.43
MN1202,7.3895,24.29,1463457.0199,18.57
BK1503,7.2775,21.11,1907055.7504,15.95
BX0403,7.2076,19.88,616739.6518,21.27
BX0702,7.1887,30.06,640922.4202,24.55
BX0601,7.1209,34.35,464644.5264,16.67
MN1201,7.0871,20.29,992331.3375,19.32
QN0301,7.0706,17.62,1730635.8198,26.41
BX0101,6.903,31.43,189799.9432,15.27
BX0603,6.8898,33.87,227731.8694,22.36
BK0702,6.8246,21.51,1242983.0474,21.33
MN0301,6.804,17.43,714859.1279,18.02
MN1101,6.7968,21.65,884649.9346,12.97
BX0502,6.7318,19.38,101509.5768,23.94
BX0402,6.7024,32.07,755612.1808,15.18
BX0803,6.6493,27.11,2022029.1425,10.73
BK1302,6.6135,24.17,994956.76,13.46
BX1104,6.5994,15.94,693814.7977,17.57
BK1001,6.5749,17.16,1760897.7134,13.66
QN0402,6.4885,14.1,679291.5649,32.09
QN0101,6.4451,20.1,1550913.7042,13.15
BK1101,6.4179,15.54,1055881.799,24.86
BK1602,6.4155,24.29,-397022.3107,13.98
BK0103,6.4041,14.54,718688.8672,7.7
BX0503,6.3576,16.19,-197167.6924,26.83
QN0401,6.3512,13.99,1105882.2112,32.4
BX0302,6.3124,31.58,-266831.0613,12.72
QN0502,6.3122,12.82,946858.3454,19.54
BX1203,6.2935,19.28,357864.871,15.28
BX0701,6.2888,26.67,196301.0523,24.22
QN0804,6.2705,21.99,634647.9556,17.94
MN0703,6.2667,15.41,752131.6343,13.82
MN1002,6.2553,19.6,326600.4669,12.75
BX1202,6.2421,25.37,143915.367,14.55
BX1101,6.238,20.47,652105.9579,17.16
BX0801,6.2258,19.27,911265.4762,17.74
MN0902,6.2199,24.41,498743.2251,14.25
BX0802,6.1726,25.35,995771.4658,16.06
MN1102,6.1476,25.44,-41044.8361,12.46
BK0102,6.1449,16.6,822035.3505,12.5
MN0701,6.1249,12.89,935126.5509,14.23
BX0904,6.1183,10.97,309029.5383,14.98
BX0303,6.1081,30.35,-184155.0552,16.3
SI0204,6.1043,16.09,1075153.9241,11.41
BX1201,6.1025,20.16,-67503.599,16.18
QN0701,6.1005,20.81,1032956.4409,19.26
QN0704,6.0741,12.37,831093.2051,27.11
BK1204,6.0584,26.43,750828.8393,13.99
BK1103,6.0331,16.0,749121.5149,21.88
BX0602,6.0214,31.25,-374790.7404,16.4
QN1001,6.0137,12.48,-11249.6798,17.76
BX0401,5.9755,23.82,-651134.1577,19.07
BK1201,5.9516,16.11,556183.1125,29.07
BK0401,5.9503,16.53,256139.4679,16.01
BK1501,5.9463,17.61,1033946.3546,17.25
BK1202,5.9452,19.68,617741.4649,12.12
MN0901,5.8745,22.18,-132096.4368,18.8
QN0707,5.8683,15.96,365502.9772,36.52
QN0103,5.8564,11.65,589411.2964,16.1
QN0501,5.8532,11.58,500753.8188,18.05
QN1401,5.8437,16.15,-234290.8483,15.24
QN0805,5.8399,14.25,-42203.402,18.54
BX1002,5.8195,15.43,954937.338,9.27
BX0903,5.8161,23.77,358427.6011,15.51
BX1103,5.7972,14.2,217002.497,12.9
MN0903,5.7956,18.4,452959.8826,17.84
BK0504,5.7885,22.38,917.4933,8.26
QN0104,5.771,16.93,757885.3646,18.01
BK0204,5.7684,17.89,189677.3903,10.15
MN0302,5.768,23.39,280679.9482,12.56
BK0701,5.7483,13.94,567706.2066,10.51
BK1002,5.7031,19.65,871603.1507,20.72
BK0203,5.7024,17.39,32229.3141,10.59
SI0203,5.6998,23.78,577956.4114,10.84
BX0902,5.6944,18.22,-42009.3546,11.04
BK1403,5.6832,15.05,329602.3106,16.66
BX0703,5.6821,18.75,-502278.5904,23.44
QN1102,5.6735,12.79,735286.4874,13.86
MN0502,5.6562,33.46,549637.2908,15.68
BK0101,5.6492,12.63,656338.4355,12.39
BK0503,5.6278,19.51,-919757.0744,13.23
MN0402,5.6172,12.22,345671.5112,14.75
QN0302,5.5918,18.87,-86169.6618,23.64
QN1301,5.5913,31.09,1188617.8994,13.63
BK0602,5.5821,9.43,461116.7487,9.87
BK0601,5.5743,16.86,172490.3731,10.65
QN1302,5.5665,11.3,471326.9946,16.36
QN0702,5.5648,11.2,542804.1934,11.95
BX1003,5.5636,12.57,553185.0995,12.48
BK0301,5.5632,15.52,-463783.509,10.28
SI0105,5.5399,10.72,523984.8812,9.16
SI0107,5.5337,11.05,397831.7666,13.44
BK0703,5.5144,13.28,253310.0107,33.29
QN1003,5.5142,12.25,541093.5056,7.59
MN0702,5.502,12.12,307081.4724,13.25
MN0603,5.4956,10.91,624966.4639,14.47
SI0202,5.4782,8.45,385255.7874,16.05
QN1306,5.4778,9.02,-270719.192,12.38
SI0201,5.4764,11.69,433547.2787,11.58
QN0706,5.4726,30.92,905811.3374,28.48
SI0301,5.4428,9.54,254079.996,9.12
BX1102,5.4158,26.96,397713.7853,15.68
MN0201,5.4122,15.79,312580.3452,13.18
QN0303,5.4091,13.77,116976.1498,39.69
QN1403,5.4042,17.97,300542.801,8.26
BK1303,5.3905,10.17,82148.9063,26.2
QN1101,5.3761,13.4,765552.4973,18.09
BX1004,5.3524,11.79,353584.608,9.17
BK1102,5.3498,16.82,626488.4884,20.36
MN0102,5.3445,11.87,295337.4346,11.19
BX0201,5.3225,26.58,-883051.0028,16.45
MN0303,5.3079,15.86,188107.9845,11.74
QN1002,5.2864,27.15,552004.1179,14.31
QN0601,5.2516,17.24,607574.3122,20.39
MN0202,5.2454,11.98,354246.2357,11.16
QN1402,5.2339,14.22,-98644.2063,11.79
SI0103,5.2165,8.08,-220501.2981,12.44
QN0705,5.2114,20.7,274269.3115,29.6
MN0501,5.1866,15.55,105808.4448,13.41
QN0202,5.1813,16.36,-505568.1104,25.55
MN0801,5.1726,9.01,621584.8186,16.8
QN0503,5.1623,17.72,79226.3245,14.81
MN0803,5.1603,10.16,487634.8317,11.88
QN0201,5.1386,11.46,-277593.3785,20.54
BK1502,5.1318,14.06,422269.3673,16.27
MN0802,5.1288,17.81,520883.1931,11.06
MN0203,5.1129,11.54,253349.6214,10.26
QN0802,5.1118,10.66,37786.5637,13.8
QN0703,5.0869,9.97,381067.5249,10.29
BX1001,5.0758,24.31,-280008.9768,17.98
BK0402,5.0732,15.23,-831492.9453,13.92
BK0802,5.0635,15.21,-1060374.8421,11.42
SI0302,5.023,8.01,404970.069,7.63
SI0101,4.9998,7.53,-309762.2068,12.47
QN1203,4.9812,8.62,-1116687.2877,14.9
QN0803,4.9786,13.84,508143.2153,15.76
QN0904,4.9605,28.32,29508.4904,19.73
SI0304,4.9554,9.82,553347.696,7.49
QN0102,4.9508,19.82,59285.6616,18.16
QN1104,4.949,9.76,426721.4878,13.3
MN0604,4.947,8.11,388221.0416,13.24
QN1103,4.9457,10.78,258347.5935,12.0
BK0801,4.9265,11.32,89800.7604,9.38
MN0601,4.9155,14.97,323939.5496,13.1
MN0401,4.9151,12.74,-251103.7907,12.19
BK1401,4.9111,8.23,-715826.7657,16.58
SI0104,4.8789,13.5,-20428.5443,10.23
BK1802,4.8773,10.54,-152372.5432,11.15
SI0303,4.873,6.0,307646.0685,8.43
MN0602,4.8702,11.02,266392.705,9.65
BK0902,4.8643,12.17,-848516.8806,12.85
QN1307,4.8629,5.49,-52191.3035,13.08
BK0901,4.8538,14.14,-427945.4578,14.85
BK1704,4.8112,14.46,-1435302.713,16.81
BK1701,4.7739,11.82,-1005067.2496,16.35
QN0905,4.7738,12.71,-453921.8731,19.82
QN0903,4.7725,13.99,-505298.1104,25.11
BK1702,4.7717,9.51,-1214653.8267,16.94
BK1203,4.7631,12.78,-109831.4229,14.23
QN0602,4.7528,10.97,-110801.2981,16.51
SI0305,4.7246,14.6,362588.991,7.04
BK0201,4.6922,8.96,220711.6,9.8
BK1402,4.6868,16.81,-858689.7245,16.13
QN0901,4.6179,13.57,-90179.3138,13.27
BX0202,4.6066,20.97,-1900388.3471,15.06
MN1203,4.5837,14.99,-930280.2196,17.05
BK0505,4.5734,15.16,-1250389.7944,13.28
BK0202,4.5585,13.93,-290621.2545,14.49
SI0106,4.5446,13.49,-858562.3008,15.32
BK1301,4.4826,24.25,-820212.2393,17.83
MN0101,4.482,10.99,72142.5598,10.68
QN1204,4.4723,7.03,-1249890.6689,9.7
BK0502,4.3831,15.79,-1871331.6074,13.82
BX0102,4.3791,22.73,-2061895.0682,13.81
BK1703,4.3175,9.79,-1571148.5208,16.35
QN0801,4.3161,14.01,-564871.9309,14.93
BK0501,4.2373,14.02,-1462795.6837,17.36
QN1206,4.0187,9.24,-1405339.3898,15.32
QN0203,4.0001,14.78,-923457.0098,33.14
BX0301,3.9964,29.56,-2560586.0877,13.36
QN0504,3.9625,11.42,-684793.762,14.87
QN1201,3.9281,13.23,-2384216.4403,23.81
QN1304,3.9054,3.41,-882718.7291,12.15
MN1001,3.8079,15.12,-1608497.9919,11.88
QN1303,3.7446,9.2,-1891016.6741,15.5
BK1601,3.5362,16.73,-2598736.7898,12.39
QN1305,3.4683,2.92,-1331391.6492,11.34
SI0102,3.3294,8.85,-1977610.2306,14.29
BK0302,3.2973,17.27,-3265226.3004,10.19
QN1202,3.1957,13.66,-3923144.6392,16.73
BK1801,2.4925,7.72,-3444044.3797,13.18
QN1205,2.3549,7.53,-3121732.8749,11.99
QN0105,2.2455,18.81,-3790742.5204,17.41
BK1803,1.9331,7.51,-4606011.5076,13.4
QN0902,1.6679,13.6,-3674853.8866,19.58
